,0
0,0.15
1,0.157
2,0.163
3,0.17
4,0.177
5,0.183
6,0.19
7,0.197
8,0.203
9,0.21
10,0.217
11,0.223
12,0.23
13,0.237
14,0.243
15,0.25
16,0.257
17,0.263
18,0.27
19,0.277
20,0.283
21,0.29
22,0.297
23,0.303
24,0.31
25,0.317
26,0.323
27,0.33
28,0.337
29,0.343
30,0.35
31,0.357
32,0.363
33,0.37
34,0.377
35,0.383
36,0.39
37,0.397
38,0.403
39,0.41
40,0.417
41,0.423
42,0.43
43,0.437
44,0.443
45,0.45
46,0.457
47,0.463
48,0.47
49,0.477
50,0.483
51,0.49
52,0.497
53,0.503
54,0.51
55,0.517
56,0.523
57,0.53
58,0.537
59,0.543
60,0.55
61,0.557
62,0.563
63,0.57
64,0.577
65,0.583
66,0.59
67,0.597
68,0.603
69,0.61
70,0.617
71,0.623
72,0.63
73,0.637
74,0.643
75,0.65
76,0.657
77,0.663
78,0.67
79,0.677
80,0.683
81,0.69
82,0.697
83,0.703
84,0.71
85,0.717
86,0.723
87,0.73
88,0.737
89,0.743
90,0.75
91,0.757
92,0.763
93,0.77
94,0.777
95,0.783
96,0.79
97,0.797
98,0.803
99,0.81
